id,position,age,area,sex,partner,num_child,education,service_length,study_time,commute,overtime,salary
173,0,28,岐阜県,1,0,0,1,8,3.0,0.2,9.0,160.38910919112135
174,2,35,石川県,1,0,0,2,13,1.0,0.7,15.7,298.54443287400215
175,3,52,広島県,2,1,1,2,30,7.0,1.7,13.7,524.053910900872
176,3,39,広島県,1,1,2,0,21,7.0,1.8,13.0,459.27866996795836
177,2,47,神奈川県,2,0,0,1,27,9.0,0.7,6.0,371.41583401564765
178,3,46,群馬県,1,0,0,4,19,3.0,0.8,18.6,443.64756492211586
179,0,23,千葉県,2,1,0,2,0,1.0,0.8,8.3,211.45383589211954
180,1,36,山口県,2,0,0,0,18,0.0,0.5,14.4,295.66050249346034
181,0,25,香川県,1,0,0,0,7,4.0,0.4,4.4,178.56332106201074
182,2,34,岩手県,2,0,0,1,14,4.0,0.6,8.7,310.5843287722804
183,0,22,高知県,1,1,0,1,2,-0.0,0.6,11.8,196.05173562696467
184,0,28,滋賀県,1,0,0,2,4,-0.0,0.8,5.6,418.88223717925126
185,0,26,茨城県,1,1,2,1,0,4.0,1.1,12.8,244.72960849987425
186,0,30,大分県,2,1,3,4,0,3.0,1.4,4.5,238.7723038927866
187,3,53,広島県,2,1,0,0,35,2.0,1.3,4.4,478.24411831642294
188,0,24,茨城県,1,0,0,1,4,3.0,0.1,20.7,212.27297156330062
189,1,29,神奈川県,1,1,2,2,0,7.0,1.5,17.4,340.46615776647394
190,0,24,兵庫県,2,1,2,0,6,8.0,1.0,2.0,211.8792169151754
191,4,54,神奈川県,2,0,0,0,36,1.0,0.9,6.6,558.6251853510208
192,0,27,奈良県,1,0,0,2,5,0.0,0.2,11.2,177.53129940984724
193,2,51,秋田県,1,1,2,1,31,4.0,2.1,6.8,554.6435703315381
194,1,18,宮崎県,2,0,0,0,0,4.0,0.5,11.9,223.15178036102367
195,2,37,新潟県,1,1,2,0,19,8.0,1.5,24.0,424.4906125155255
196,2,36,石川県,2,1,6,0,18,5.0,1.8,7.7,423.1563598497541
197,4,49,山口県,2,0,0,1,29,8.0,0.6,9.2,529.3429658025343
198,4,50,鳥取県,2,1,1,1,30,0.0,1.8,9.0,546.687752597234
199,0,27,鹿児島県,1,0,0,1,7,5.0,0.1,12.4,182.6601341330699
200,0,22,静岡県,1,1,4,1,1,0.0,1.1,12.9,283.9745311088051
201,4,47,岩手県,1,1,1,2,25,0.0,2.0,18.1,595.1698627864688
202,3,42,栃木県,1,1,3,4,15,5.0,1.6,15.6,453.25697546797676
203,1,32,群馬県,1,1,1,0,14,2.0,1.5,14.0,301.05919762947644
204,2,38,奈良県,1,0,0,3,14,4.0,0.5,12.4,322.4316685468787
205,0,18,島根県,2,0,0,0,0,0.0,0.1,12.5,165.87433804705304
206,1,39,福井県,1,0,0,1,19,3.0,0.6,20.3,357.2598515407232
207,3,49,岡山県,1,1,5,0,31,5.0,1.6,11.5,550.8627478706677
208,0,23,宮崎県,2,1,0,2,0,6.0,0.6,6.0,202.99975419172387
209,1,22,岡山県,2,1,3,0,1,9.0,1.6,15.5,368.98261384786423
210,4,44,茨城県,1,1,2,0,26,4.0,1.8,17.0,584.7535137031044
211,0,24,鳥取県,2,0,0,2,1,0.0,0.2,8.3,201.1781990001314
212,1,40,長野県,1,1,0,0,22,6.0,1.2,11.6,306.23700844966817
213,2,22,佐賀県,1,1,2,1,2,7.0,1.4,15.4,332.7174504486283
214,1,39,群馬県,2,0,0,0,21,0.0,0.4,9.0,252.3423640224911
215,2,40,福島県,2,0,0,2,18,2.0,0.8,3.3,299.1915901210984
216,2,45,秋田県,2,1,5,1,25,5.0,1.8,7.7,496.06632201094413
217,0,22,長崎県,1,1,2,1,0,1.0,1.2,11.2,242.85569531331475
218,0,22,神奈川県,1,0,0,1,2,2.0,0.2,9.5,169.39208682115012
219,1,29,高知県,2,0,0,2,3,0.0,1.0,16.5,510.91762477925954
220,1,18,香川県,1,0,0,0,0,4.0,0.3,18.3,234.7686229769107
221,0,25,高知県,1,1,1,1,5,4.0,1.0,9.0,202.8723222209789
222,1,38,香川県,1,0,0,1,18,5.0,0.6,11.2,193.08252691544106
223,1,33,福岡県,2,0,0,2,11,-0.0,0.5,8.1,266.0401994332443
224,0,22,三重県,1,1,0,0,4,5.0,0.6,14.3,202.21762371892893
225,2,46,岩手県,2,0,0,1,26,2.0,0.6,6.2,341.0222009580649
226,4,41,福岡県,2,1,4,0,23,8.0,1.9,13.3,626.7850639590345
227,1,37,佐賀県,1,0,0,0,19,2.0,0.5,14.1,280.41756944147255
228,0,23,愛知県,2,1,0,1,3,3.0,0.9,7.8,197.63997250186455
229,3,45,三重県,1,0,0,1,25,1.0,0.9,14.2,511.4644827191123
230,0,26,福岡県,1,1,0,0,0,3.0,0.7,9.2,208.07769875681305
231,0,23,千葉県,1,1,1,2,0,3.0,1.2,15.6,208.74514428156635
232,0,22,長崎県,1,0,0,0,4,2.0,0.1,10.5,150.88342384306412
233,2,40,東京都,2,1,4,1,20,4.0,3.3,7.0,474.59696578514263
234,3,37,岩手県,1,0,0,0,19,6.0,0.7,11.0,424.7230317683448
235,0,25,徳島県,1,1,3,0,7,8.0,1.1,17.4,269.39592679707613
236,0,27,長野県,1,1,1,0,9,1.0,1.2,19.6,250.83452202179652
237,3,50,沖縄県,1,1,0,1,27,3.0,1.4,6.1,400.75208978095344
238,4,43,鹿児島県,1,0,0,2,21,8.0,1.4,18.0,753.570759778636
239,2,30,大分県,2,1,1,1,10,4.0,1.9,9.1,475.83186319366996
240,2,39,福岡県,1,0,0,4,3,0.0,1.3,11.5,794.6737286858599
241,2,31,福井県,2,0,0,0,13,1.0,0.9,8.8,453.9796515665067
242,0,24,山形県,1,0,0,2,0,5.0,0.1,13.8,180.425383502486
243,1,36,愛知県,2,0,0,1,16,5.0,0.8,8.0,451.5263236414941
244,0,26,神奈川県,2,1,3,1,6,7.0,1.1,15.2,307.68815701417583
245,1,36,福岡県,2,1,1,1,16,8.0,1.9,10.9,459.8694886016589
246,0,22,石川県,2,1,0,1,0,0.0,0.7,5.8,163.49495402050547
247,0,24,岩手県,2,1,1,2,0,3.0,1.0,4.8,204.42928648892513
248,4,55,香川県,2,1,4,1,35,0.0,2.0,12.8,649.497196351186
249,0,25,広島県,1,1,2,1,5,7.0,1.3,13.9,264.58351271731897
250,0,22,香川県,2,1,3,0,2,6.0,1.3,11.3,255.4866102144934
251,0,22,広島県,1,1,3,0,4,2.0,1.2,19.8,278.7112480528078
252,0,21,鳥取県,1,1,2,0,3,5.0,1.1,16.8,247.6973698806292
253,1,38,福井県,2,1,3,2,16,4.0,1.7,9.7,339.8264666597409
254,0,23,徳島県,2,0,0,1,1,1.0,0.4,10.9,147.39298398278382
255,2,29,石川県,2,1,0,0,11,4.0,0.9,8.8,296.97790251079965
256,2,31,奈良県,1,1,1,4,1,2.0,2.3,15.1,800.4906528899462
257,3,48,千葉県,1,1,4,0,30,6.0,2.0,12.3,565.2583939977887
258,0,25,岐阜県,2,0,0,3,0,3.0,0.4,5.9,205.5552805821687
259,1,28,鹿児島県,2,0,0,0,1,5.0,0.6,13.2,257.245998949891
260,2,54,岩手県,1,1,4,0,36,2.0,1.7,10.2,480.075817700484
261,0,23,大分県,2,0,0,1,3,1.0,0.2,13.3,194.01413355775716
262,1,26,大阪府,1,1,3,3,2,2.0,4.2,8.6,600.433215255802
263,0,23,山梨県,1,0,0,2,0,3.0,0.2,9.5,164.88925434777516
264,1,33,新潟県,2,0,0,1,13,2.0,0.6,11.2,265.06093721134374
265,2,35,島根県,1,1,4,0,17,4.0,1.5,17.0,450.0636535098805
266,2,34,東京都,1,0,0,4,7,10.0,2.5,0.1,841.9775702864132
267,0,23,島根県,1,1,0,1,3,2.0,0.8,15.9,215.62104858607523
268,0,22,山形県,2,1,2,1,2,2.0,1.1,4.9,238.3531365433615
269,0,22,大阪府,2,0,0,1,0,5.0,1.3,16.3,317.8779222768058
270,2,55,広島県,1,0,0,2,33,5.0,0.7,16.1,433.8879429443514
271,4,53,長野県,2,1,2,3,29,6.0,2.5,11.3,898.4378260871642
272,0,22,山梨県,2,0,0,1,2,3.0,0.1,14.8,182.20869008760857
273,4,52,山口県,1,0,0,1,32,6.0,0.8,12.5,590.2708986441041
274,1,26,奈良県,1,0,0,1,6,3.0,0.3,13.5,222.30842152492474
275,0,25,石川県,2,1,3,1,5,0.0,1.2,15.4,278.922812868378
276,1,27,新潟県,1,1,0,2,5,3.0,1.0,15.1,275.7873216071548
277,0,22,香川県,2,0,0,0,4,3.0,0.2,14.2,167.65085271108202
278,0,22,鳥取県,2,1,0,1,0,3.0,0.6,8.5,197.97233273357696
279,0,22,埼玉県,2,0,0,1,1,4.0,0.1,14.6,191.6025409264751
280,0,21,東京都,1,1,1,1,0,9.0,2.3,11.0,237.71173156789132
281,1,28,石川県,2,1,3,3,4,4.0,1.3,14.8,337.9736508411525
282,0,23,高知県,2,0,0,1,3,1.0,0.2,10.2,182.23300747594234
283,1,31,兵庫県,2,1,2,1,11,6.0,1.6,8.9,324.87106422312013
284,4,53,三重県,1,0,0,1,33,5.0,1.1,12.3,499.779604144075
285,3,33,山口県,1,1,0,2,11,3.0,1.2,18.7,384.61481784684275
286,1,31,静岡県,2,0,0,3,7,5.0,0.4,9.8,233.10924175451458
287,4,48,鹿児島県,2,1,2,0,30,3.0,2.0,15.9,600.7338318754691
288,1,38,岩手県,2,0,0,2,16,8.0,0.5,0.8,252.92578384039572
289,1,34,山梨県,1,0,0,0,16,3.0,0.7,20.0,271.68732978102514
290,0,26,高知県,2,1,0,1,6,3.0,0.7,7.7,191.78247127941992
291,1,25,茨城県,2,0,0,1,2,3.0,0.3,7.5,241.16232001949535
292,3,43,群馬県,2,1,4,1,23,2.0,1.8,10.7,551.4350379545043
293,2,40,鳥取県,2,0,0,2,18,3.0,0.6,14.3,316.39360307809517
294,1,30,滋賀県,2,0,0,2,8,3.0,0.9,6.5,482.42335908200823
295,1,41,富山県,1,1,7,2,19,9.0,1.5,15.4,448.8910118127577
296,2,42,神奈川県,2,0,0,1,22,9.0,0.6,9.7,401.355701159265
297,0,22,長野県,2,0,0,0,4,0.0,0.2,1.9,156.1231965260562
298,0,27,山口県,1,1,1,1,7,2.0,1.2,22.3,275.3872350546362
299,2,40,愛媛県,2,1,3,3,16,10.0,2.4,10.9,725.1703104952802
300,1,27,秋田県,1,1,2,1,7,5.0,1.4,15.8,286.9523297275229
301,4,55,富山県,1,0,0,2,33,6.0,1.0,11.5,548.0604879237235
302,0,19,大分県,1,1,1,0,0,2.0,1.1,17.3,235.86905958402855
303,2,40,京都府,2,0,0,2,18,4.0,0.5,12.9,351.3679595425793
304,0,21,神奈川県,1,1,2,0,0,7.0,1.1,13.6,257.0780896084486
305,2,52,岡山県,1,0,0,3,28,5.0,1.2,19.6,759.1014633281111
306,1,39,広島県,1,1,1,0,11,6.0,1.4,24.4,367.51895049816517
307,3,41,宮崎県,2,1,3,4,14,7.0,1.8,8.2,504.76795458981934
308,0,21,福井県,2,1,0,1,0,2.0,0.6,12.6,205.7463929067149
309,2,28,京都府,2,0,0,2,6,2.0,1.0,11.7,558.3922263310126
310,0,22,青森県,2,0,0,0,4,3.0,0.3,10.8,186.9287399942053
311,1,46,滋賀県,1,1,0,2,24,18.0,1.5,2.8,630.9196579804511
312,4,57,埼玉県,1,0,0,1,13,9.0,1.1,11.3,601.3677131008996
313,2,54,鹿児島県,1,1,2,0,36,7.0,1.9,11.5,462.67607410489234
314,1,36,山形県,1,1,2,2,14,7.0,1.5,19.4,346.0476116528949
315,2,36,静岡県,2,0,0,2,14,7.0,0.9,14.2,519.9661106945128
316,0,27,宮城県,1,0,0,0,9,-0.0,0.2,14.4,217.58439551569734
317,0,22,秋田県,2,0,0,1,2,1.0,0.2,9.0,176.01928578404483
318,0,25,鳥取県,2,0,0,0,7,8.0,0.1,11.9,179.046347168845
319,0,24,香川県,2,1,3,0,6,7.0,1.4,9.4,229.48832421262304
320,0,22,茨城県,1,0,0,1,0,-0.0,0.2,11.6,175.07619710844514
321,0,20,山梨県,2,0,0,0,0,0.0,0.7,5.4,265.73680334474614
322,0,24,石川県,2,0,0,0,6,2.0,0.1,5.0,187.08751917754654
323,3,46,岡山県,2,1,4,2,24,7.0,2.2,15.5,660.5446101831292
324,0,23,富山県,2,0,0,1,2,0.0,0.2,4.7,168.56980710264455
325,0,27,宮城県,1,1,1,1,7,2.0,1.7,9.3,338.6124359040752
326,3,44,福島県,2,1,3,2,22,7.0,1.8,8.8,518.519622300475
327,1,25,奈良県,2,1,1,3,0,11.0,2.1,9.1,567.7198827158454
328,0,23,山梨県,1,0,0,1,3,3.0,0.4,12.1,177.25667960498984
329,0,19,沖縄県,1,0,0,0,0,1.0,0.1,10.8,140.47733342139531
330,0,21,神奈川県,1,0,0,1,0,4.0,0.2,10.4,188.54244232439967
331,0,26,青森県,2,0,0,0,8,0.0,0.1,4.2,174.6062630703399
332,1,27,徳島県,1,1,1,3,3,0.0,2.1,13.5,602.6635656608851
333,0,24,鹿児島県,1,1,2,2,1,2.0,1.1,12.1,248.26608070282927
334,1,35,三重県,1,1,1,0,17,8.0,1.7,13.2,423.7701709143753
335,0,25,奈良県,1,0,0,0,7,3.0,0.3,13.4,189.32520871214388
336,1,41,沖縄県,2,0,0,4,10,3.0,0.6,11.1,293.76577476106513
337,1,34,東京都,1,0,0,3,10,0.0,1.0,21.7,357.09428352337824
338,2,39,北海道,2,0,0,1,10,1.0,0.5,11.4,314.02207935555003
339,0,24,宮城県,2,1,1,1,4,2.0,1.3,7.6,229.3216047708534
